,Cancer_Q
9084,"My abdominal ultrasound result reveals gallbladder is distended and demonstrates multiple mucosal polyps, size 4.5.No calculus. What do I do please?"
9085,My abdominal usg shown prominent bowel loops seen in the abdomen and mild splenomegaly what is finding?
9086,My child is 11 height 4 9' weighs a ct. Scan of abdomen showed intestinal wall inflammation. Anemic 9.2 and constipation what can it be?
9087,My ct scan showing sutble bowel thickning terminal ilum and ileocecal junction what is finding?
9088,My gallbladder ultrasound reads abnormal thickening of neck does mean cancer if I have gallbladder polyps?
9089,"My mum with ca.Cervix had radio now has incontinence. A CT scan shows a distended fluid filed cervical lumen, cervical stenosis, bladder fist. Advice.?"
9090,"My partner had 2 x 3mm sessile polyps removed and has slight adema in caecal mucasa, obliteration of vascular pattern, , biospys taken from cecum, ?"
9091,"My scope report says there was ""dark blood in rectum overlying congested mucosa, no specific colitius/lesions seen."" What does that mean? What is it?"
9092,My son is age 25 is in stage 3 kidney disease. His biopsy said something about a thickened bladder wall. What does this mean?
9093,"My ultrasonography report says: EDEMATOUS ILEO-CAECAL JUNCTION,CAECUM.....INFECTIVE/INFLAMMATORY ETIOLOGY, I'm in pain,what is cause and treatment?"
9094,"My ultrasound report says ""gall bladder is distended show smooth walls, lumen is echo free, common bile duct is not dilated"" What does this all mean? Should I be worried?"
9095,"Need interpretation of ultrasound .  Gallstones and sludge and possil]ble polyp present withingallbladder wall thickening, edema and pericholecystic?"
9096,"New report-well distended wall, numerous small calculi seen, no pericholecystics fluid cbd not dilated. What doesit mean. Wt is to be done."
9097,"New, probably benign, increased mesenteric fat attenuation suggesting inflammation, infiltration or edema in small bowel mesentery. Explain?"
9098,Now my ct scan showing sutble residual terminal ileal thickning and ileocecal junction what is finding?
9099,On a CAT scan for kidney stones fecalization of distal ileum possibly early obstruction was picked up. I am 61..two years post gastric bypass with two?
9100,Picture of where the bladder is situated?
9101,Pillcam report: multiple AVMs + erythema in small bowel. Lymphoid hyperplasia distal s/b. Cecum erythema/AVM as well. Can't get in to discuss this w/GI for weeks. Can someone help translate findings?
9102,"Please help, blood in stool (colonoscopy normal, ) MRI shows narrowing of small bowel don, t know what this signifys?"
9103,"Pls advice me, what is the meaning and causes of intestinal edema. It was seen on colonoscopy?"
9104,Pls interpret this:2-3 round intraluminal signal defects in the gb adjacent to cystic duct.Largest measures 4mm maybe stones/polyps. Do i remove gb?
9105,Probable fatty infiltration and pelvic congestion  (diallated veins in pelvis). Are these two related?
9106,Reasons for diffuse thickening of bladder wall ?
9107,"Recent colonoscopy could not be completed due to multiple diverticula with associated hypertrophy of Muscle, could this be cancerous?"
9108,"Refer to ultra sound report. Gallbladder is well distended, walls appear normal, multiple samall calculi seen lumen pls advice?"
9109,"Results of CT w/ contrast ""trace periureteral stranding at level of pelvic inlet, stranding is near appendiceal tip"". What does this mean to me?"
9110,Retrograde urethrogram report: q 3 of 3. Impression: suggestive of bladder outlet obstruction with significant pvr. Meaning?
9111,Severe llq pain CT skip lesions hyperenhancement/ wall thickening of ti + fat stranding rectum. Colonoscopy ok waiting biopsy. Crohn's? Gas +d 12+m
9112,Since TAH 3 years ago laparoscopy found sigmoid to be adhered to pelvic side wall by dense omental and bowel adhesions. What is long term implication?
9113,"Sir, my dad prostate size is increased to 42*34*35 and bowel loops are dilated also multiple gaseous shadows are seen in x ray of abdomen a.p. view an?"
9114,Soft tissue density midline pelvis is likely due to distended urinary  bladder best correlated clinically as  a slightly enlarged uterus may  present ?
9115,Stigmaoscopy showed patchy inflamation in splendic flexure but bloods scan xray all clear can this be from constipation or does it have to be colitis?
9116,Stool in ascending colon and splenic flexure only minimal degree distally showed on my catscan and what does this mean too me?
9117,"Stool in small Intestine means obstruction?Ct shows intussusception & stool in small intestine ,stool seen in exploratory surgery,surgeon did nothing"
9118,The doctor did a ct scan and said looks like a small bowel obstruction but I have severe diarrhea could it be something else and how's it treated?
9119,The doctor said there is something pushing on the intestinal wall causing it to swell. This was during a colonoscopy what could it be? Thank you
9120,There aremottled radiolucencies seen within the colonic segments?
9121,They found a 2.3mm polyp in my gallbladder about 2 weeks ago. Can this be causing my tenderness?
9122,"Thickening of the lower bowel, what does that mean?"
9123,"Told I have diverticuli, a spot on my liver, and thickening of the sigmoid. Is this serious?"
9124,"What are hepatic cysts located on my liver & should I worry, I have diagnoised with sigmoid colon diverticulosis?"
9125,"What are some causes of new and enlarged lymph node in the abdomen? Tests ruled out: infection, acid, leak, twisted and kinked bowels/intestines."
9126,What are symptoms of thickening of the gallbladder wall?
9127,What are the symptoms of an adenocarinoma located in the uterus?
9128,What can cause thickening of small intestines and what does a radiologist mean by mucosal enhancement?
9129,What causes bladder wall thickening and how to treat it?
9130,What causes stomach wall thickening?
9131,What could be the probable diagnosis of a growth at sigmoid colon and rectm junction?
9132,What could cause my bowel to perforate if it was not diverticulitis. The cat scan was unclear as to why I formed a large 12 CM abcess?
9133,"What do anastmosis outline mean? And irgularties at anastmosis outline, does ""outline"" mean outer area f joind bowel, an irregularities=infectd cavity"
9134,"What do you suggest if my ultrasound report says ""gall bladder is distended show smooth walls, lumen is echo free, common bile duct is not dilated"" is it something serious ?"
9135,"What does "" underfilling of the colon"" mean?"
9136,"What does ""Bowel gas pattern is abnormal with dilated gas-filled small bowel, mostly in the left upper quadrant. Gas is present within the colon"" mean?"
9137,"What does ""sigmoid colon showed an ulcero-proliferative"" mean?"
9138,What does a thickened colon mean?
9139,What does equivocal wall thickening of sigmoid colon and proximal rectum mean?
9140,What does fat stranding on the appendix indicate?
9141,What does fat stranding on the appendix indicate?
9142,What does fold thickening and narrowing of mid decending colon suggest. Seen on X-ray. Scheduled colonoscopy a week from now. Freaked out?
9143,What does gasrojejunostomy with edematous stoama and obstruction means? is the thing relates with cancer?
9144,What does incomplete distension of colon mean? Had a CT scan and that was included in results. What is incomplete distension of colon?
9145,What does increased vascularity in sigmoid and rectum mean? My doctors do not know.
9146,What does irregular rectal wall thickening with possible apple core type lesion at the rectosigmold junction mean?
9147,"What does it mean by ""soft tissue stranding in the surrounding mesenteric fat"" on ct? Is it same as misty mesentery or mesenteric fat stranding?"
9148,What does it mean if a barium swallow showed a narrowing in my thoracic cavity?
9149,What does it mean if mild diffuse bladder wall is thickening?
9150,"What does it mean on CT to have: ""very little fat separating the loops of bowel."" Just out of curiosity. ?"
9151,"What does moderately fluid distended gallbladder mean? Noted on abdominal MRI, common bile duct diameter at 6mm. & I have alot of abdominal symptoms."
9152,What does patent end to side ileo colonic anastomosis in ascending colon mean? And characterized by healthy appearing mucosa! I had surgery in dec.
9153,What does prominent lymphoid tissue in the descending Colon mean in a 6 year old child with stomach pain and bloating?
9154,What does prominent soft tissue thickening at the L ureterovesicular junction mean? Could the radiologist be seeing thr deflux material on a prior VUR
9155,What does regional and proximal enteritis mean?
9156,What does the extralumial air appears contiguous with the rectum mean??
9157,What does thickening of the first and second portion of the duodenal wall indicate during a CT scan result?
9158,What does upper abdominal viscera are normal mean after a CT colonoscopy what organs do they mean and what are the most visible iv+oral contrast taken?
9159,"What does word ""stranding"" mean in medical terminology pertaining to pancreas, gallbladder, esophagus, or any other disgestive organs?"
9160,What is  focal ileus?
9161,What is Bladder wall thickend complications? its occurs due to obstruction of prostatitits.
9162,"What is a abdominal mass? Usually means a tumor, right?"
9163,What is a misty mesentery?
9164,What is a subtotal colectomy with small bowel sigmoid anastomosis appearing at the level of upper pelvis mean?
9165,What is diffuse bowel wall oedema?
9166,What is hollow viscus myopathy?
9167,What is moderate stool in ascending colon and splenic flexure but only minimal degree distally mean too my health?
9168,What is multiple foci of extramural Vascular invasion ... This was noted on re path report after colon resection . Has it penetrated the bowel wall ?
9169,What is multiple tiny echogenic foci seen along the wall in gall bladder?
9170,What is pleurodiaphragmatic adhesion left means?
9171,What is prominant cbd in abdomen?
9172,What is spatic diverticuloses? Have svere luminsl narrowing couldthid be from IBS?
9173,What is the ideal investigation for illeum and jejunum pathology?
9174,What is the meaning of hyper density overlying cecum?My 1 yr old brother were diagnosed with this. Doc even said his colon is bigger than normal
9175,What is the part of the gall bladder peritoneum that is continuous with a reflection of peritoneum on the liver's surface?
9176,What is the reason for thickening of the mid transverse colon?
9177,"What is the significance of perirectal fat stranding and Crohn's disease? A CT scan showed ""perirectal fat stranding""."
9178,What might this be? CT appears a cystic mass 7.3 cm above but adjecent to bladder. May be urinary Diverticulum but a separate mass is felt more likely
9179,What shoud i eat if you have bladder wall thickening?
9180,What would cause inflamed bowel on cy scan?
9181,What's multiple filled bowel loops mean ?
9182,"When evaluating an abdominal xray, how can you tell if the large bowel is dilated? Is it based solely on the size/circumference of the bowel?"
9183,Which disease is it if segment of proximal jejunal thick without obvious intussesception with no proximal bowel obstruction is it cure in 17year adult?
9184,Which is the part of ileum where gallstone is most likely to get imapcted in gallstone ileus.? Ileocecal junction or elsewhere.? Plz tell
9185,Will inflammation appear on an abdominal ct?
9186,With a psa of 13 and the wall of the bladder shows thickening was does that mean?
9187,Would a thickened cecum be caused by something or is something caused from a thickened cecum. If its found on CT should it be biopsied?
9188,"Xray report write ""it could be distal uretric calculus"" & ""normal bowel gas pattern""? Its just a stone or something else? What normal bowel gas pattern?"
9189,Abdominal carcinamatosis from breast cancer metastasis?
9190,"Afraid i may have breast cancer or Paget's disease, how do I know for sure?"
9191,Afraid of breast cancer? What should I do?
9192,Am i having breast cancer? What should I do?
9193,Any odor with breast cancer?
9194,Are breast cancer and bone cancer related?
9195,Are breast cancer and leukemia hereditary?
9196,Are my breasts just developing or is there something wrong with me?
9197,Are pimples on your breast a sign of cancer?
9198,Are there any ways to prevent breast cancer?
9199,Are there warning signs of breast cancer?
9200,Are tumors in your breast always associated with breast cancer?
9201,Are you more at risk for melanoma if you have had breast cancer?
9202,Benign breast disease and the risk of breast cancer?
9203,"Besides cancer, why might I have a lump in my breast?"
9204,Both of my grandpas and cancer my mom had breast cancer could I have cancer?
9205,Breast cancer 17 yrs old? Is that possible?
9206,"Breast cancer and chemotherapy, can you tell me more?"
9207,Breast cancer at 14. Is it possible?
9208,Breast cancer begins in what kind of tissue?
9209,Breast cancer prevention?
9210,Breast cancer symptoms?
9211,Breast cancer- how could you tell what is a cancerous lump?
9212,Breast cancer... what is it all about?
9213,Breast pain normal at age 23? No history of breast cancer
9214,Can HPV cause breat cancer?
9215,Can I inherit breast cancer?
9216,Can I still get breast implants after having breast cancer and radiation?
9217,Can a 16 year old get breast cancer? And how exactly are the breast cancer lumps?
9218,Can a 57 year old woman have breast cancer if last mammogram was 1.5 years ago and normal? Never had an abnormal mammogram. What stage cancer?
9219,Can a breast MRI miss breast cancer?
9220,Can a breast droop because of breast cancer?
9221,Can a fibroadenoma develop into cancer?
9222,Can a14 year old her breast cancer?
9223,Can anything besides breast cancer cause dimpling of breast skin?
9224,Can breast cancer be detected by ultrasound?
9225,Can breast cancer be inherited?
9226,Can cancer from having breast reduction?
9227,Can dcis breast cancer be caused by stress?
9228,Can deodorants cause breast cancer?
9229,Can fat necrosis develop into breast cancer?
9230,Can fibroadenoma turn into cancer?
9231,Can fibroadenomas turn into breast cancer?
9232,Can fibrocystic breast turn into breast cancer after you have menopause?
9233,Can foreplay with breasts lead to breast cancer?
9234,Can having your breasts removed prevent breast cancer?
9235,Can I survive breast cancer without a mastectomy?
9236,Can itchy breasts be a sign of breast cancer?
9237,Can my friend have breast cancer?
9238,Can my grandmother develop breast cancer and ovarian cancer at the exact same time?
9239,Can my mom have breast cancer! help?
9240,Can my mom have breast cancer?
9241,Can nicotine promote other cancers such as breast cancer?
9242,Can ovarian cancer and breast cancer be hereditary?
9243,Can pain in breasts mean I have breast cancer?
9244,Can radiation from my cellphone give me breast cancer?
9245,Can stress cause breast cancer?
9246,Can the rays of sun cause breast cancer or any other.?
9247,Can there be a link between breast cancer and ovarian cancer?
9248,Can trauma to the breast cause breast cancer?
9249,Can weraing a bra all the time cause breast cancer?
9250,Can you be certain that I do not have breast cancer?
9251,Can you give me suggestions on symptoms of breast cancer?
9252,Can you guys tell me how can 1 have breast cancer if 1 does not have breasts?
9253,Can you have DCIS in one breast and Lobular carcinoma in the other breast at the same time?
9254,Can you have breast and lung cancer at the same time?
9255,Can you please define hereditary breast cancer?
9256,Can you please explain why all the focus for cancer is on breast cancer?
9257,Can you tell me about breast cancer skin metastasis?
9258,Can you tell me about breast cancer verses prostate cancer?
9259,Can you tell me exactly when is the best time or age for screening of breast cancer?
9260,Can you tell me how breast cancer happen?
9261,Can you tell me how i can know if I have breast cancer ?
9262,Can you tell me how i can know if I have breast cancer?
9263,Can you tell me how to know if I am at risk for breast cancer?
9264,Can you tell me how to know if you have breast cancer?
9265,Can you tell me if there is any causes of breast lumps besides cancer?
9266,Can you tell me what exactly is metastatic breast cancer?
9267,Can you tell me which are the signs of breast cancer?
9268,Can you tell me which are the symptoms of breast cancer?
9269,Correlation between breast cancer and ovarian cancer?
9270,Could I have breast cancer and no symtoms?
9271,Could a mammogram before 40 increase risk for breast cancer?
9272,Could dimpling breasts always signal breast cancer?
9273,Could fibrocystic breast turn into cancer?
9274,Could having a breast mammagram give you cancer?
9275,Could my daughter have breast cancer at 14?
9276,Could there be a connection between abortion & breast cancer?
9277,Could there be a connection between breast cancer and abortion?
9278,Could you explain breast cancer symptoms to me?
9279,Could you get breast cancer after a mastectomy?
9280,Could you tell me what type of breast cancer could this be?
9281,"Discolor from radiation on breast cancer, what to do?"
9282,Do I have to worry about breast cancer if i'm only 23?
9283,Do all breast cancers have tumors ?
9284,Do breast cancer tumor hurts?
9285,Do breast implants really decrease your risk of breast cancer?
9286,Do fibrocystic breast changes increase my risk of breast cancer?
9287,Do parabens really cause breast cancer?
9288,"Do the breast enhancement pills ""breast actives"" cause breast cancer or uterus cancer?"
9289,"Docs, could a 12 year old be diagnosed with breast cancer?"
9290,"Doctors, what are the signs of breast cancer?"
9291,"Doctors, what are the symptoms of breast cancer?"
9292,Does a breast dimple always mean breast cancer?
9293,Does abortion cause breast cancer?
9294,Does breast bondage causing breast cancer?
9295,Does breast feeding cause ovarian cancer?
9296,Does chemotherapy work for breast cancer?
9297,"Does nicotine promote other cancers such as breast cancer? Please, need some answers?"
9298,Does smoking cause breast cancer?
9299,Does tamoxifen help prevent breast cancer?
9300,Does the breast have to have dimpling or puckering at site of mass for it to be cancer?
9301,Does the presence of breast cancer cause fatigue?
9302,"Family has no history of breast cancer, how common is breast cancer at 25 years of age."
9303,Help docs! How to tell if I have breast cancer?
9304,"Help, what is the cause of breast cancer?"
9305,"Hi docs, would there ever be a cure for breast cancer?"
9306,How can I detect breast cancer early?
9307,How can I have breast cancer if I do not have breasts?
9308,How can I prevent breast cancer?
9309,How can I tell if I have breast cancer?
9310,How can I tell if I have dcis?
9311,How can I tell if it's gyno or brest cancer?
9312,How can breast cancer develop?
9313,How can breast cancer happen?
9314,How can breast cancer occur?
9315,How can breast cancer spread?
9316,How can doctors tell if I have breast cancer?
9317,How can metastatic breast cancer progress?
9318,How can they check for breast cancer after a mastectomy?
9319,How can you tell if breast pain is cystic or cancer?
9320,How can you tell if you have a breast tumor?
9321,How can you tell if you have breast cancer?
9322,How can you. Tell the difference between fibrocystic breasts and breast cancer?
9323,"How common is breast cancer at 25 years of age, with no family history?"
9324,How common is breast cancer?
9325,How dangerous is breast cancer?
9326,How do I check myself for breast cancer?
9327,How do I do a self-check for breast cancer?
9328,How do I know if I have Paget's disease or breast cancer?
9329,How do I know if I have a sign of breast cancer?
9330,How do I know if I have breast cancer?
9331,How do you diagnose breast cancer?
9332,How do you find out if you have breast cancer?
9333,How do you know that you are free of breast cancer or any breast diseases?
9334,How do you prevent breast cancer?
9335,How do you screen for breast cancer?
9336,How do you screen from breast cancer?
9337,How do you tell if you have breast cancer?
9338,How does a doctor diagnose breast cancer?
9339,How does breast cancer spread?
9340,How does dcis turn into stage 4 breast cancer?
9341,How is breast cancer diagnosed?
9342,How is breast cancer transmitted?
9343,How is breast cancer treated?
9344,How many breast cancer stages are there?
9345,How many stages of cancer are there for breast cancer?
9346,How much can breast cancer develop in a year if mammogram was normal one year before?
9347,How possible is this breast cancer?
9348,How prevalent is breast cancer?
9349,How to ban breast cancer? Will large breast cause it?
9350,How to detect of breast cancer?
9351,How to know if I am at risk for breast cancer?
9352,How to know if I have breast cancer?
9353,How to prevent further hereditary breast cancer?
9354,How to prevent hereditary breast cancer?
9355,How to tell difference between gyno and breast cancer?
9356,How to tell if I am at risk for breast cancer?
9357,How to tell if I have breast cancer at 17?
9358,How to tell if I have breast disease/cancer?
9359,How well does breast reconstruction work after cancer?
9360,How will I be able to tell if I have breast cancer?
9361,How would you know if you have breast cancer?
9362,How would i know if i had breast cancer?
9363,How/why can breast cancer cause one breast to sag and the other to not?
9364,I am 24 I have no family history of breast cancer but can I be the first?
9365,I did a breast biopsy and I was reading that breast biopsy causes cancer is that true?
9366,I have a lumpi in my breast and tenderness and fhx of breast cancer as well as my dad had cancer?
9367,I have been bleeding for 15 days. Is this normal? I have breast cancer
9368,"I have breast cancer and lymphoma, i'm frantic, what to do?"
9369,I have inflammatory breast cancer please help?
9370,I have soreness in my breast and i'm not sure why. Could it be cancer?
9371,I need help! How do I know if I have breast cancer at 16?
9372,I need to know what is the genetic connection for breast cancer?
9373,I need to talk to a doctor about Breast cancer?
9374,"I thought i had breast cancer, after my lumpectomy we found out they were benign. Am i a cancer survivor?"
9375,I want to ask that i had multiple ovoid lesions in both breasts does it increases the risk of breast cancer?
9376,I'm concerned about breast cancer. Please help?
9377,I'm wondering what makes breast cancer metastasize more then other cancers?
9378,"Ibc inflammatory breast cancer, what is this?"
9379,"If I have breast cancer, what could the signs be?"
9380,"If b-cell lymphoma is found in a breast biopsy, is that breast cancer?"
9381,If I'm only 25 do I need to worry about breast cancer?
9382,If you have a breast tumor for about 5 years now could it be cancer?
9383,If you have metastatic breast cancer can you have surgery to remove the breast?
9384,In what ways are breast cancer and ovarian cancer associated with each other?
9385,"Inflammatory breast cancer, what to do?"
9386,Is  breast cancer less threatening after menopause?
9387,Is a fibroadenoma a type of breast cancer?
9388,Is a mammogram the most effective way to detect breast cancer?
9389,Is bleeding from nipple breast cancer?
9390,Is breast cancer inherited?
9391,Is breast cancer the same as carcinoma?
9392,Is dcis breast cancer genetic?
9393,Is it ok to have a dog if u have breast cancer?
9394,Is it ok to have a dog when you have breast cancer?
9395,Is it possible for those who are 13 yrs. Old to have breast cancer?
9396,Is it possible that I am having breast cancer?
9397,Is it possible that I have a breast cancer?
9398,Is it possible that I have breast cancer at 16?
9399,Is it possible that I have breast cancer at 17?
9400,Is it possible that I have breast cancer?
9401,Is it possible to have breast cancer if I don't have a tumor?
9402,Is it possible to have breast cancer with out any lumps I'm the breast ? And r there any other sighs of breast cancer ?
9403,Is there a cure for all breast cancer?
9404,Is there a cure for breast cancer?
9405,Is there a difference between inflammatory breast cancer and invasive breast cancer?
9406,Is there a link between breast implants & breast cancer?
9407,Is there a way to check if I have breast cancer by myself?
9408,Is there a way to help my friend who has stage 3b breast cancer?
9409,Is there any link between breast cancer and lung cancer?
9410,Is there any way to be most supportive of my best friend who has breast cancer?
9411,Is there anything practical I can do to help my aunt who has breast cancer?
9412,Is there such a thing as a mucinous carcinoma breast cancer?
9413,Might fibrocystic breast turn into cancer?
9414,Might somebody have breast cancer at 14?
9415,Might somebody have breast cancer at 16?
9416,Might somebody have breast cancer at the age of 15?
9417,My aunt has a tumor in her breast. What could it be?
9418,"My breast hurts (don't think it's cancer) and I have no idea why, what to do?"
9419,My dad's mom had breast cancer and now my mom had breast cancer. Even though I am not yet 40 should I have a mammogram?
9420,"My doctor told me to do a breast biopsy, what are the chances that i will have cancer if i was told this?"
9421,My mammogram was abnormal. What are the chances that I have breast cancer?
9422,Need docs help! I am scared I have breast cancer. Only 16 years old please help!?
9423,Need doctor's help! I have breast cancer but I don't know?
9424,Odds of inflammatory breast cancer at 18?
9425,Please explain what are causes of breast cancer?
9426,Please explain what are symptoms of breast cancer?
9427,Please explain what are the chances of a lump in the breast being cancer?
9428,Please explain what are the signs of breast cancer?
9429,Please let me know if there is any correlation between breast cancer and lung cancer?
9430,Please tell me the signs of breast cancer?
9431,Please tell me what's the signs of breast cancer?
9432,"Please tell me, could a 13 year old have breast cancer?"
9433,"Please tell me, could breast cancer turn into another cancer?"
9434,Squeezing breast can cause cancer?
9435,Stage 3 breast cancer?
9436,Supposing you have a tumor on your breast. Does it mean you have breast cancer?
9437,"Suspicious of something, so my mom should do a breast biopsy. What to do if its cancer?"
9438,Symptoms of breast cancer?
9439,Symptoms of breast cancer?
9440,They found a 6cm mass in my breast what is the changes of it being breast cancer?
9441,What am I too expect after breast cancer?
9442,What are my chances of breast cancer?
9443,What are phytoestrogens? Do they cause or prevent breast cancer?
9444,What are some causes of breast cancer?
9445,What are some early indicators of breast cancer?
9446,What are some of the hormonal influences on breast cancer?
9447,What are some of the symptoms of breast cancer?
9448,What are some of the tests for Breast cancer?
9449,What are symptoms of breast cancer?
9450,What are the benefits of screening early for breast cancer?
9451,What are the causes of breast cancer?
9452,What are the causes of breast cancer?
9453,What are the causes of breast cancer?
9454,What are the chances of surviving breast cancer?
9455,What are the differences between breast cancer and lung cancer?
9456,What are the main causes of breast cancer? Does fibrocytic changes are prone to breast cancer?
9457,What are the most common breast cancer symptoms?
9458,What are the most common causes breast cancer?
9459,What are the most common ways to treat breast cancer?
9460,What are the odds of a 97 year old having breast cancer?
9461,What are the odds of a breast cancer recurrence?
9462,What are the odds of dying from breast cancer?
9463,What are the signs of having breast cancer?
9464,What are the tests for breast carcinoma?
9465,What are the tests for hereditary breast cancer?
9466,What are the tests for metastatic breast cancer?
9467,What can we do to help promote breast cancer awareness?
9468,What can you eat if you have a breast cancer?
9469,What causes (aggressive) breast cancer?
9470,What causes breast cancer? Can antiperspirants cause breast cancer?
9471,What causes dcis breast cancer?
9472,What do I need to know about herceptin (trastuzumab) after breast cancer?
9473,What do you suggest if my grandma has angiosarcoma of the breast..?
9474,What do you suggest if my mom has breast cancer in brain?
9475,What does early-stage breast cancer actually mean?
9476,What does metastatic breast cancer really mean?
9477,What exactly is breast cancer? What causes it?
9478,What exactly is metastatic breast cancer?
9479,"What is ""early-stage"" breast cancer?"
9480,What is a good way to check if I have breast cancer?
9481,What is brac analysis for breast cancer?
9482,What is breast cancer from?
9483,What is ductal incarcinoma (breast cancer )?
9484,What is fibroadenoma of the breast? A cancer?
9485,What is metastatic breast carcinoma?
9486,What is most common type of breast cancer?
9487,What is ocult breast cancer?
9488,What is paget's breast cancer and is it unlike other breast cancers?
9489,What is some info on hereditary breast cancer?
9490,What is stage 3 breast cancer?
9491,What is systemic breast cancer?
9492,What is the best early detection for breast cancer?
9493,What is the best way to treat breast cancer?
9494,What is the common name for the breast cancer?
9495,What is the definition or description of: Metastatic breast cancer?
9496,What is the definition or description of: breast cancer?
9497,What is the genetic recurrence of breast cancer?
9498,What is the likelihood of breast cancer recurrence?
9499,What is the likelihood of someone actually surviving breast cancer?
9500,What is the lump in my breast be. Besides cancer.?
9501,What is the main cause of breast cancer?
9502,What is the probablity of a breast cancer recurrence?
9503,What is the relationship of breast to ovarian cancer?
9504,What is the role of estrogen in breast cancer?
9505,What is the very best way to check for breast cancer?
9506,What possibilities I have breast cancer are there?
9507,What to do if I have a lump in my ductal gland is it cancer?
9508,What to do if I have a mark on my breast should I be concerned about breast cancer?
9509,What to do if I have breast implants and breast cancer?
9510,What to do if I just had a biopsy and was told I have cancerous cells in my breast. Is that breast cancer?
9511,What to do if inflammatory breast cancer?
9512,"What to do if my grandma has lumps on her breast. By any chance, would it be breast cancer?"
9513,What to do if my mum has breast cancer?
9514,What type of breast cancer do I have?
9515,What's the outlook for lymphedema from breast cancer?
9516,When is breast cancer awareness month?
9517,When was breast cancer first discovered?
9518,Where the breast cancer originate?
9519,Which type of doctor works with breast cancer?
9520,Who is most at risk for breast cancer?
9521,Whom does breast cancer affect?
9522,Why do we have so much breast cancer awarensess but no testicular cancer campaigns in the us?
9523,Why is breast cancer awareness more common than other common cancers?
9524,Why is breast cancer so deadly?
9525,Why should I be concerned about breast cancer?
9526,Will a GI cancer show up in a breast?
9527,Will a biopsy of my breast determine if it's cancer for sure?
9528,Will soy give you breast cancer?
9529,Will tattoos on breasts give you breast cancer?
9530,"With regards to breast cancer, what is a lump?"
9531,Would metastatic cervical cancer in the breast appear the same as breast cancer on mammogram and ultrasound?
9532,Any counseling program for children of breast cancer survivors?
9533,Any ideas on where would I find qa on metastatic melanoma?
9534,Any relationship between aspirin and cancer?
9535,Are BCG treatments for cancer a danger to others living with the patient?
9536,Are there any companies that donate a % of their profits to cure children's cancer?
9537,Are there any funds that support breast cancer?
9538,Are there any personality changes when cancer starts to metasticize?
9539,Are there breast cancer scholarships for children of survivors?
9540,Are there new superfoods fighting cancer?
9541,"As a cancer patient, how can I deal with my depression?"
9542,"As a cancer survivor, what support system help my family cope?"
9543,Can anyone live beyond 5 years with metastatic breast cancer?
9544,"Can anyone provide the overall survival rate for nodular melanoma. I am not looking for stage specific. Just the overall %. I read once, 80%???"
9545,Can doctors tell me what does the national cancer institute do?
9546,Can foundation cause cancer after some years?
9547,Can laughter therapy help against cancer? Heard something about gilda radner.
9548,Can old man have saromatous and mesthomelia cancer?
9549,Can there be mistakes in grading cancer?
9550,Can you please list the most common ideas to give to people if they donate to breast cancer research?
9551,Can you please recommend some effective organizations that put money toward cancer research?
9552,Can you tell me how i can support someone with cancer?
9553,"Can you tell me if i had a cancer 90 years ago, will it ever comback?"
9554,Can you tell me some things that we can do in our communities to help promote breast cancer awareness?
9555,Cancer center that can handle mesenchylal chondrosaecoma?
9556,Cancer walk mobile al?
9557,Could you give me sites where you can donate money or anything to cancer research?
9558,Could you tell me if steve jobs was a vegetarian how did he get pancreatic cancer?
9559,Dear doctor. If your beloved has non melanoma skin cancer. And you  love this person so much. Would you marry him . I am a disease freak. Please help.?
9560,Do cancer centers provide rehabilitation services for cancer survivors?
9561,Do wifi cause cancer to children?
9562,Do you have any encouraging stories about cancer survivors close to you?
9563,Do you have any uplifting stories about metastatic cancer being somehow cured?
9564,Do you know any website where they give things to do everyday when living with cancer?
9565,Do you know if doing qigong helps for cancer patients?
9566,Does any doctor recommend medical marijuana for terminally ill lung cancer patient?
9567,Does being a cancer survivor make me less able to deal with stress?
9568,Does ocd cause cancer??
9569,"Family friend diagnosed with kidney, lung and spine cancer and wonder if cryoablation would help in canada please help to educate us here in canada if cryoablation would help a patient in ontario canada just diagnosed with multiple places of cancer and he"
9570,How can I decode common cancer terms?
9571,How can I learn more about cancer clusters?
9572,How can I support someone who has just had cancer diagnosed?
9573,How can I support someone with cancer?
9574,How can I tell if squamous cell cancer a disability for social security?
9575,How can I use the acs site to find support from other cancer survivors?
9576,How can love and compassion affect cancer survival?
9577,How can meeting other cancer survivors help?
9578,How can nonprofit organizations help me if I am a cancer research supporter?
9579,How can you remain upbeat when you are dying of cancer?
9580,How can you support someone cope with testicular cancer?
9581,How can you support someone who is dealing a tumor on the lung?
9582,How common is cancer in chinese factory workers?
9583,How did lance armstrong choose his cancer clinic?
9584,How do I find someone at cancer. Org to present on their cancer community creation success?
9585,How do I give moral support to someone with breast cancer?
9586,How do I like she confirm thyroid cancer  cancer not spread (staging info) before surgery? Http://www.Bbc.Co.Uk/news/world-latin-america-16342
9587,How do you deal with the overwhelming terror of a cancer diagnosis with a bad prognosis?
9588,How do you help the cancer survivors cope and understand cancer and chronic illness?
9589,How does an 80 year old man have saromatous and mesthomelia cancer?
9590,How does marijuana help with cancer patients?
9591,How harmful for your health is non terminal cancer in comparison to terminal?
9592,How important is it to have a doctor who is doing cancer research?
9593,How might a health savings account be beneficial for a cancer survivor?
9594,How to cope with my friend having cancer?
9595,How to help my friend cope with cancer?
